relative_path,variable,storage_dtype,shape,definition,unit,semantic_status,missing_value_note
data/figure_source_data/02a32220c192_by_seed.csv,study,CSV text/parsed scalar,60 rows,Study identifier,identifier,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/02a32220c192_by_seed.csv,run_id,CSV text/parsed scalar,60 rows,Archived run identifier,identifier,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/02a32220c192_by_seed.csv,seed,CSV text/parsed scalar,60 rows,Training random seed,identifier,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/02a32220c192_by_seed.csv,role,CSV text/parsed scalar,60 rows,Model role in the cumulative construction,identifier,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/02a32220c192_by_seed.csv,S_rel_l2,CSV text/parsed scalar,60 rows,Dimensionless or normalized diagnostic; exact normalization is defined in the originating evaluator,1,DERIVED_REQUIRES_EVALUATOR_REFERENCE,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/02a32220c192_by_seed.csv,S_RMSE_front_band,CSV text/parsed scalar,60 rows,Dimensionless or normalized diagnostic; exact normalization is defined in the originating evaluator,1,DERIVED_REQUIRES_EVALUATOR_REFERENCE,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/02a32220c192_by_seed.csv,conditional_chamfer_m,CSV text/parsed scalar,60 rows,Conditional symmetric front-contour Chamfer distance,m,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/02a32220c192_by_seed.csv,p_tilde_rel_l2,CSV text/parsed scalar,60 rows,Nondimensional-pressure diagnostic identified by the originating evaluator,1,DERIVED_REQUIRES_EVALUATOR_REFERENCE,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/02a32220c192_by_seed.csv,p_phys_RMSE_MPa,CSV text/parsed scalar,60 rows,Physical-pressure root-mean-square error,MPa,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/02a32220c192_by_seed.csv,local_FV_CO2_RMSE,CSV text/parsed scalar,60 rows,Dimensionless or normalized diagnostic; exact normalization is defined in the originating evaluator,1,DERIVED_REQUIRES_EVALUATOR_REFERENCE,Blank/NaN values retain evaluator meaning; consult generating code
