figure_panel,content,source_files,coverage_note,status
"Main Fig. 1a,c,d",schematic,No numerical result file,Parameters and definitions are encoded in the figure script and manuscript caption,SCHEMATIC_SCRIPT_REQUIRED
Main Fig. 1b,schematic profiles,Figure1_schematic_profiles.csv,All plotted profile coordinates,COMPLETE_FOR_PANEL
Main Fig. 2a-c,methodology schematic,No observational source file,"Architecture, ablation sequence, ramps and RAR protocol are encoded in the figure script/configuration",SCHEMATIC_SCRIPT_REQUIRED
Main Fig. 3,H fields and signed errors,7097db6a3ed0_early.npz;c85eab6edbf4_middle.npz;0ee49018e840_final.npz;Figure6_manifest.csv,"500 x 500 arrays, selected times and display-limit exceedances",COMPLETE
Main Fig. 4,H leave-one-out heat map,Figure8_mean_percent.csv;Figure8_SD_percent.csv;6999e0edfd8e_LOO_paired.csv,Displayed means/SD and seed-paired source values,COMPLETE
Main Fig. 5a,H ray profiles,Figure9a_source.csv;98fb8735fa87_multiray_front_profiles.csv,Displayed profiles and broader multiray source,COMPLETE
Main Fig. 5b,H breakthrough curves,Figure9b_source.csv;Figure9_breakthrough_summary.csv;8d2ef6fb6d35_breakthrough_curves.csv,"Displayed curves, crossing summaries and archived curve source",COMPLETE
Main Fig. 5c-d,H front sharpness,Figure10_source.csv;Figure10_source_byray.csv;Figure10_M3_M4_paired.csv;Figure10_M6_M7_paired.csv;1b0a223fc3a1_multiray_front_by_ray.csv,Aggregate and ray-resolved paired values,COMPLETE
Main Fig. 6,H local-FV trade-off,H_FV_tradeoff_source.csv;32e314f5d40a_by_seed.csv,Seed-paired local residual and common-inventory values,COMPLETE
Main Fig. 7,K final fields,c9809f839f83_snapshot_grid.npz;K_field_ranges.csv,500 x 500 final saturation/pressure fields and ranges,COMPLETE
Main Fig. 8,H/K component effects,HK_component_paired.csv;HK_component_summary.csv;4c132295533d_K_paired_effects.csv;464c44c6a76b_paired_effects.csv,Displayed paired percentages and summaries,COMPLETE
Supplementary Fig. A.1,constitutive and fractional-flow curves,Figure2_curves.csv,All plotted curve coordinates,COMPLETE
Supplementary Fig. B.1,loss trajectories,FigureB1_source.csv;5d5cfad89ed5_loss_points.csv,Displayed loss records and archived log points,COMPLETE
Supplementary Fig. B.2,H time-level errors,FigureB2_source.csv;2ac99a986403_by_time_global_accuracy.csv,Displayed metrics and full per-time evaluation table,COMPLETE
Supplementary Fig. B.3,H final-time gallery,0ee49018e840_snapshot_grid.npz;44586ea104cb_snapshot_grid.npz;4ee4ce7f2427_snapshot_grid.npz;835805ce15c0_snapshot_grid.npz;8549f324fe6d_snapshot_grid.npz;87eedb8129c3_snapshot_grid.npz;db86ff9f9828_snapshot_grid.npz;ef3eb1e88390_snapshot_grid.npz,Reference and M0-M7 final-time fields; associated metadata JSON files are also present,COMPLETE
Supplementary Fig. B.4,H full-range signed errors,7097db6a3ed0_early.npz;c85eab6edbf4_middle.npz;0ee49018e840_final.npz;FigureB4_manifest.csv,Same arrays as Main Fig. 3 with full-range display metadata,COMPLETE
Supplementary Fig. B.5,H seed-paired deletion effects,6999e0edfd8e_LOO_paired.csv;b38477efbbfb_paired_effects.csv;c22006814136_paired.csv,Seed-paired values and effect summaries,COMPLETE
Supplementary Fig. B.6,holdout-design schematic,No observational source file,Schematic points are generated by the figure script and are explicitly not actual sample counts,SCHEMATIC_SCRIPT_REQUIRED
Supplementary Fig. B.7,H cumulative construction,Figure7_mean.csv;Figure7_SD.csv;02a32220c192_by_seed.csv,Displayed means/SD and seed-level diagnostic table,COMPLETE
Supplementary Fig. B.8,holdout and label-efficiency,Figure11a_source.csv;Figure11b_source.csv;fbf058ba7cfc_holdout_by_seed.csv;80eee6e3ae5d_holdout_summary.csv;ce42de22cb58_BL_by_seed.csv,Displayed aggregates and seed-level sources,COMPLETE
Supplementary Fig. C.1,K field evolution,1e26aa04d39a_snapshot_grid.npz;5184d0351607_snapshot_grid.npz;c9809f839f83_snapshot_grid.npz;K_field_ranges.csv,Three K saturation times and final pressure field,COMPLETE
